state,energy,internet_access,transportation,development_rank
ALABAMA,16,45,27,32
ALASKA,47,40,14,42
ARIZONA,9,30,7,12
ARKANSAS,40,46,4,46
CALIFORNIA,36,32,41,38
COLORADO,12,22,18,14
CONNECTICUT,44,18,40,41
DELAWARE,32,31,5,18
FLORIDA,15,16,6,11
GEORGIA,22,33,10,17
HAWAII,48,3,33,27
IDAHO,11,6,21,10
ILLINOIS,13,21,17,13
INDIANA,27,4,20,30
IOWA,5,1,37,1
KANSAS,24,20,12,16
KENTUCKY,29,36,16,22
LOUISIANA,39,35,45,44
MAINE,42,29,46,43
MARYLAND,34,26,23,25
MASSACHUSETTS,45,24,42,45
MICHIGAN,46,38,26,40
MINNESOTA,10,7,3,6
MISSISSIPPI,38,47,47,49
MISSOURI,17,10,39,20
MONTANA,7,50,8,34
NEBRASKA,4,34,29,9
NEVADA,8,8,1,5
NEW HAMPSHIRE,41,14,44,37
NEW JERSEY,35,19,38,28
NEW MEXICO,18,49,31,47
NEW YORK,30,12,28,19
NORTH CAROLINA,31,28,25,24
NORTH DAKOTA,6,2,13,24
OHIO,33,27,19,23
OKLAHOMA,19,37,43,31
OREGON,1,17,4,3
PENNSYLVANIA,25,11,49,29
RHODE ISLAND,43,25,50,48
SOUTH CAROLINA,23,42,35,33
SOUTH DAKOTA,3,5,36,7
TENNESSEE,28,15,11,15
TEXAS,26,23,22,21
UTAH,21,4,2,8
VERMONT,49,13,32,35
VIRGINIA,37,43,30,39
WASHINGTON,2,9,15,4
WEST VIRGINIA,50,39,48,50
WISCONSIN,14,41,34,26
WYOMING,20,48,9,36