name,total_1970,total_1980,total_1990,total_2000,total_2011_2015,urban_1970,urban_1980,urban_1990,urban_2000,urban_2011_2015,rural_1970,rural_1980,rural_1990,rural_2000,rural_2011_2015
United States,0.106618147,0.162295747,0.203379978,0.244016273,0.303150225,0.115419503,0.174883604,0.21966744,0.262235259,0.323025811,0.067264638,0.104971965,0.122835726,0.149003474,0.188218617
Alabama,0.07846979,0.121797309,0.156807879,0.190347025,0.240103661,0.088838843,0.137494692,0.178449687,0.217079741,0.270609588,0.052998874,0.082043684,0.097791161,0.115996537,0.144363333
Alaska,0.141402614,0.212102368,0.230932058,0.247149301,0.287922855,0.155220184,0.225264875,0.251295704,0.265576352,0.31390453,0.134660633,0.188858153,0.191535689,0.209846933,0.235152069
Arizona,0.125603749,0.174136614,0.202884437,0.235309798,0.279560243,0.129671431,0.179187125,0.209833789,0.242077974,0.286441268,0.07474527,0.103254056,0.097785189,0.124178146,0.14953987
Arkansas,0.066550545,0.108200623,0.133211242,0.166605823,0.215062797,0.082483673,0.132571693,0.163141004,0.201930743,0.255734568,0.050974841,0.082525778,0.098275642,0.121766806,0.152841781
California,0.134449088,0.196017356,0.233568197,0.266209335,0.319963809,0.13554602,0.197328416,0.235598582,0.26845978,0.32223061,0.086878304,0.145792457,0.156152417,0.179829922,0.224876515
Colorado,0.149259774,0.229590159,0.269689882,0.326926651,0.387073684,0.161532136,0.240337211,0.281969715,0.340332483,0.400148617,0.091462194,0.172372247,0.197881087,0.250248063,0.303503379
Connecticut,0.136629849,0.206594799,0.271806756,0.314074168,0.38048253,0.137506759,0.207711392,0.273049937,0.316388509,0.38282341,0.119545537,0.186152377,0.249991565,0.274655355,0.340172292
Delaware,0.130934776,0.174683816,0.214054175,0.250490617,0.30475336,0.130934776,0.174683816,0.214054175,0.250490617,0.30475336,,,,,
District of Columbia,0.177834351,0.274619782,0.333108466,0.390697856,0.553601859,0.177834351,0.274619782,0.333108466,0.390697856,0.553601859,,,,,
Florida,0.102640175,0.148818464,0.182780949,0.2233476,0.278833779,0.103726459,0.148051346,0.185611712,0.227726585,0.283912156,0.062230172,0.089220052,0.107578927,0.117666236,0.140656024
Georgia,0.092111418,0.145928671,0.193158557,0.242997783,0.294119611,0.105842032,0.164935953,0.217832661,0.272028457,0.324015881,0.052747256,0.085326372,0.101283314,0.124666348,0.157077619
Hawaii,0.139659549,0.203457583,0.228824209,0.261740835,0.313687824,0.149637857,0.21166097,0.238140262,0.271656127,0.322429954,0.074337706,0.153199464,0.17810321,0.213398741,0.276444478
Idaho,0.099611832,0.158278654,0.176511578,0.216652593,0.262487996,0.111466914,0.172487051,0.193827167,0.238540601,0.283613886,0.085879772,0.139575518,0.151373304,0.180493489,0.219882337
Illinois,0.10310251,0.162048818,0.210448414,0.260613838,0.328936596,0.110393969,0.173584725,0.226414971,0.279500641,0.349999888,0.060661353,0.094905084,0.110456381,0.134726308,0.17571596
Indiana,0.083263485,0.12519724,0.155594116,0.19408144,0.246114985,0.092169196,0.138556931,0.174380074,0.218123571,0.272601386,0.058063491,0.086981465,0.099628139,0.120017818,0.156284881
Iowa,0.090951637,0.139435752,0.168500865,0.212088893,0.271721455,0.11655742,0.174552947,0.211323105,0.262544729,0.329115771,0.069001392,0.106662088,0.12463098,0.155141343,0.194854554
Kansas,0.11376865,0.170323939,0.210977332,0.258039145,0.316104648,0.136972865,0.204538866,0.254083899,0.3061443,0.367875125,0.08647049,0.12604799,0.145106504,0.175844577,0.210698909
Kentucky,0.072108296,0.110768144,0.136310953,0.171353353,0.226986003,0.089019846,0.138369098,0.173612167,0.218181035,0.281992035,0.051587866,0.078694201,0.090820472,0.113469676,0.151765495
Louisiana,0.090497118,0.139042578,0.161262896,0.187275804,0.229575936,0.097415001,0.149704044,0.173925592,0.201477578,0.24633616,0.062917757,0.093206265,0.102728842,0.11914291,0.143300844
Maine,0.083635322,0.143968331,0.187719406,0.228717785,0.293156376,0.092903975,0.153930695,0.209669445,0.254360237,0.331194868,0.072556055,0.13179627,0.15957813,0.194413315,0.240103389
Maryland,0.139366709,0.203552004,0.264570167,0.314498676,0.38412279,0.141710258,0.206441568,0.268166142,0.318524424,0.387942922,0.065199329,0.111100842,0.143404738,0.176236843,0.245210481
Massachusetts,0.125528924,0.200282624,0.272321623,0.331898836,0.41221661,0.125756777,0.200337593,0.272514971,0.332160224,0.412852337,0.107855393,0.196505495,0.259556834,0.315436443,0.372310224
Michigan,0.094225416,0.142592557,0.173559667,0.217623416,0.27410304,0.099029245,0.149687032,0.184563721,0.232728216,0.29232795,0.067696104,0.108000716,0.121805228,0.151185137,0.195347448
Minnesota,0.111000635,0.173628694,0.218217098,0.274332287,0.342406094,0.130587228,0.201201423,0.250542576,0.311481347,0.381710566,0.066735348,0.107781283,0.128062023,0.164147228,0.212226899
Mississippi,0.080557552,0.122888568,0.147464225,0.169040186,0.210234689,0.101692155,0.152308762,0.183556202,0.206996684,0.252334657,0.069549623,0.10512684,0.123064206,0.141232199,0.174730001
Missouri,0.089715592,0.13893895,0.177957448,0.21581741,0.276346874,0.101455964,0.159301979,0.205492405,0.248864054,0.316492519,0.057928046,0.085793902,0.101665655,0.125160909,0.160549549
Montana,0.110110066,0.174600005,0.197944174,0.243702493,0.299343961,0.140851214,0.199976839,0.222438759,0.268535783,0.323104915,0.095179072,0.16124094,0.18489386,0.230534861,0.286583863
Nebraska,0.096496123,0.155173529,0.18941036,0.237426661,0.299848434,0.126505736,0.193395968,0.233693579,0.285791878,0.350901518,0.067138235,0.113694813,0.133519714,0.168991873,0.211705888
Nevada,0.107858116,0.144384603,0.152778868,0.181559577,0.231806464,0.112884506,0.148155229,0.156346242,0.185914037,0.238463217,0.081746162,0.120911734,0.129139744,0.147738983,0.170986642
New Hampshire,0.108511596,0.182089591,0.243651018,0.286538501,0.354671666,0.110432532,0.185869946,0.255420352,0.301641739,0.372973329,0.105910557,0.17664227,0.224881965,0.26208247,0.324904713
New Jersey,0.118356577,0.183391364,0.248540281,0.297794425,0.374645954,0.118356577,0.183391364,0.248540281,0.297794425,0.374645954,,,,,
New Mexico,0.127342874,0.175840384,0.20413835,0.234533632,0.266564283,0.149797939,0.203726031,0.240034442,0.270360741,0.302065136,0.101008667,0.134531304,0.146044711,0.172426917,0.193957072
New York,0.11887781,0.179418417,0.231316414,0.273725505,0.347409446,0.121535844,0.184248161,0.238580604,0.282484034,0.357782081,0.083130161,0.120478827,0.142766904,0.165600372,0.212763292
North Carolina,0.084506052,0.132352047,0.173751039,0.224628875,0.290281258,0.095806694,0.149215325,0.196010936,0.252665396,0.322612389,0.057567461,0.090990901,0.113093502,0.142696668,0.180558349
North Dakota,0.083879135,0.148222303,0.180655655,0.219888151,0.281725352,0.130288992,0.208453229,0.244681328,0.281829461,0.343719733,0.063563609,0.115952773,0.139089786,0.172776787,0.22451962
Ohio,0.092659057,0.136523913,0.169729394,0.210953433,0.26667466,0.100501921,0.148196137,0.186758802,0.233375924,0.293877284,0.060674171,0.091831299,0.104115332,0.125542687,0.161088916
Oklahoma,0.100201818,0.150733348,0.177891516,0.202785256,0.244690993,0.114543288,0.170607664,0.200169304,0.22663894,0.271549251,0.082358268,0.123541424,0.143424815,0.163488125,0.194663206
Oregon,0.117793402,0.178521763,0.205981128,0.250806975,0.314383265,0.128228456,0.193708389,0.223422843,0.271678284,0.339569835,0.081074637,0.121893399,0.135461459,0.160086459,0.190448875
Pennsylvania,0.087488105,0.135550128,0.17944344,0.223514097,0.293332788,0.091963381,0.142744811,0.189953168,0.237070197,0.309957773,0.05527754,0.08602455,0.105035104,0.128896676,0.17048753
Rhode Island,0.093876531,0.154313916,0.212700089,0.256009088,0.324583142,0.093876531,0.154313916,0.212700089,0.256009088,0.324583142,,,,,
South Carolina,0.089667925,0.134233149,0.166467367,0.204180646,0.264590032,0.095709984,0.143380606,0.178903268,0.218982438,0.281591696,0.068426032,0.099447958,0.113817781,0.138881882,0.173727514
South Dakota,0.085960681,0.140064771,0.171639954,0.215052313,0.274503357,0.095161276,0.15837472,0.196985936,0.245185621,0.303795296,0.081789419,0.130068538,0.155279503,0.192693568,0.247297892
Tennessee,0.078940913,0.125980962,0.159598747,0.195648087,0.253519269,0.090787233,0.144002543,0.183095467,0.224210124,0.286267852,0.045024798,0.073821154,0.088215545,0.109507939,0.146814748
Texas,0.108726001,0.168800834,0.203179639,0.232375722,0.28098572,0.118917737,0.183753934,0.21955288,0.248729962,0.296922114,0.069306384,0.101643659,0.115447943,0.134690742,0.16097654
Utah,0.139798553,0.198785454,0.222610415,0.261261449,0.31674773,0.146392207,0.207000888,0.230848835,0.268039797,0.324298627,0.093754054,0.141019213,0.159083187,0.209418679,0.256254058
Vermont,0.114875582,0.190421317,0.243121667,0.294453804,0.361819238,0.143708012,0.221337007,0.290466456,0.348414899,0.427937111,0.10386185,0.178224888,0.222710065,0.269752715,0.329614239
Virginia,0.123030626,0.190982966,0.244885128,0.294646137,0.368908968,0.141807134,0.217116085,0.274074472,0.326186727,0.399800716,0.051640107,0.080561026,0.096756079,0.12393385,0.170291732
Washington,0.127221385,0.189519873,0.229328075,0.277314973,0.335571156,0.130693227,0.195114552,0.237261645,0.286776552,0.346575529,0.100632122,0.14701674,0.164027553,0.198132351,0.238723668
West Virginia,0.067709472,0.104170553,0.123333498,0.148316162,0.195592074,0.077191808,0.118775802,0.143317013,0.170535473,0.220925784,0.054475949,0.083728033,0.094655226,0.115333956,0.156210613
Wisconsin,0.097580647,0.148250824,0.177417551,0.224194578,0.283734387,0.108870291,0.163976453,0.197622452,0.250459966,0.313871298,0.067285269,0.107947616,0.124164145,0.15631326,0.202157302
Wyoming,0.117808812,0.171535064,0.187907938,0.21910075,0.260097865,0.131783084,0.187194012,0.205376127,0.219191824,0.251684084,0.111255143,0.164637004,0.180311186,0.219061128,0.263808637
Puerto Rico,,,,0.182776842,0.245666993,,,,0.185212595,0.248258602,,,,0.122237538,0.186921866