name,1990,2000,2010,2016,2010-16
United States,248790925,281424600,308758105,323127513,0.046539371
Alabama,4040389,4447207,4780131,4863300,0.017398896
Alaska,550043,626933,710249,741894,0.044554797
Arizona,3665339,5130247,6392301,6931071,0.084284204
Arkansas,2350624,2673293,2916025,2988248,0.02476762
California,29811427,33871653,37254522,39250017,0.053563833
Colorado,3294473,4302086,5029324,5540545,0.101648054
Connecticut,3287116,3405650,3574114,3576452,0.000654148
Delaware,666168,783559,897936,952065,0.060281579
District of Columbia,606900,572086,601766,681170,0.131951622
Florida,12938071,15982571,18804592,20612439,0.096138592
Georgia,6478149,8186653,9688680,10310371,0.064166739
Hawaii,1108229,1211497,1360301,1428557,0.05017713
Idaho,1006734,1293957,1567650,1683140,0.073670781
Illinois,11430602,12419927,12831574,12801539,-0.002340711
Indiana,5544156,6080827,6484136,6633053,0.02296636
Iowa,2776831,2926538,3046869,3134693,0.028824344
Kansas,2477588,2688925,2853129,2907289,0.018982668
Kentucky,3686892,4042193,4339344,4436974,0.022498792
Louisiana,4221826,4469035,4533479,4681666,0.032687259
Maine,1227928,1274779,1328364,1331479,0.00234499
Maryland,4780753,5296647,5773786,6016447,0.042028056
Massachusetts,6016425,6349364,6547813,6811779,0.040313613
Michigan,9295287,9938823,9884129,9928300,0.004468881
Minnesota,4375665,4919631,5303924,5519952,0.040729845
Mississippi,2575475,2844754,2968103,2988726,0.006948209
Missouri,5116901,5596564,5988928,6093000,0.0173774
Montana,799065,902200,989414,1042520,0.053674195
Nebraska,1578417,1711230,1826334,1907116,0.044231778
Nevada,1201675,1998250,2700691,2940058,0.088631761
New Hampshire,1109252,1235807,1316461,1334795,0.013926732
New Jersey,7747750,8414764,8791953,8944469,0.017347226
New Mexico,1515069,1819017,2059198,2081015,0.010594902
New York,17990778,18977026,19378110,19745289,0.018948133
North Carolina,6632448,8046346,9535688,10146788,0.06408557
North Dakota,638800,642237,672591,757952,0.126913682
Ohio,10847115,11353336,11536727,11614373,0.006730332
Oklahoma,3145576,3450451,3751615,3923561,0.045832528
Oregon,2842337,3421524,3831072,4093465,0.068490751
Pennsylvania,11882842,12280548,12702857,12784227,0.006405646
Rhode Island,1003464,1048259,1052940,1056426,0.00331073
South Carolina,3486310,4012023,4625410,4961119,0.072579296
South Dakota,696004,754858,814195,865454,0.062956663
Tennessee,4877203,5689427,6346298,6651194,0.048043127
Texas,16986335,20851028,25146100,27862596,0.108028521
Utah,1722850,2233183,2763888,3051217,0.103958265
Vermont,562758,608613,625741,624594,-0.001833027
Virginia,6189197,7079057,8001041,8411808,0.051339194
Washington,4866669,5894281,6724545,7288000,0.083790799
West Virginia,1793477,1808193,1853011,1831102,-0.011823459
Wisconsin,4891954,5363757,5687289,5778708,0.016074267
Wyoming,453589,493786,563767,585501,0.038551387
Puerto Rico,,,3726157,3411307,-0.084497245