name,all_percent,all_lower_bound,all_upper_bound,children_percent,children_lower_bound,children_upper_bound
Alabama,18.5,18.2,18.8,26.5,25.8,27.2
Alaska,10.4,9.9,10.9,14.5,13.5,15.5
Arizona,17.4,17.1,17.7,24.7,23.9,25.5
Arkansas,18.7,18.3,19.1,26.4,25.5,27.3
California,15.4,15.3,15.5,21.2,20.9,21.5
Colorado,11.5,11.2,11.8,14.8,14.2,15.4
Connecticut,10.6,10.3,10.9,14.6,13.8,15.4
Delaware,12.6,12,13.2,19.1,17.9,20.3
District of Columbia,17.7,16.8,18.6,28.3,25.4,31.2
Florida,15.8,15.6,16,23.4,22.9,23.9
Georgia,17.2,16.9,17.5,24.7,24.1,25.3
Hawaii,10.7,10.3,11.1,14.5,13.5,15.5
Idaho,14.7,14.1,15.3,17.7,16.8,18.6
Illinois,13.6,13.4,13.8,19.1,18.6,19.6
Indiana,14.4,14.1,14.7,20.4,19.7,21.1
Iowa,12.1,11.8,12.4,14.9,14.2,15.6
Kansas,12.9,12.5,13.3,16.9,16.1,17.7
Kentucky,18.3,17.9,18.7,25.3,24.5,26.1
Louisiana,19.5,19.1,19.9,28.1,27.3,28.9
Maine,13.2,12.7,13.7,17.5,16.5,18.5
Maryland,9.9,9.6,10.2,13.9,13.2,14.6
Massachusetts,11.5,11.2,11.8,14.9,14.3,15.5
Michigan,15.7,15.5,15.9,22.2,21.6,22.8
Minnesota,10.2,10,10.4,13.1,12.5,13.7
Mississippi,22.1,21.6,22.6,31.5,30.5,32.5
Missouri,14.8,14.5,15.1,20.4,19.7,21.1
Montana,14.4,13.9,14.9,18.8,17.7,19.9
National,14.7,14.6,14.8,20.7,20.5,20.9
Nebraska,12.2,11.8,12.6,15.9,15,16.8
Nevada,14.9,14.5,15.3,21.6,20.7,22.5
New Hampshire,8.4,7.9,8.9,11,10.1,11.9
New Jersey,10.8,10.6,11,15.5,14.9,16.1
New Mexico,19.8,19.3,20.3,27.2,26.2,28.2
New York,15.5,15.3,15.7,22.3,21.8,22.8
North Carolina,16.4,16.2,16.6,23.4,22.8,24
North Dakota,10.7,10.2,11.2,12.1,11.1,13.1
Ohio,14.8,14.6,15,21.2,20.6,21.8
Oklahoma,16,15.7,16.3,22,21.3,22.7
Oregon,15.2,14.8,15.6,19.8,18.9,20.7
Pennsylvania,13.1,12.9,13.3,19.1,18.6,19.6
Rhode Island,14.1,13.5,14.7,20.6,19.5,21.7
South Carolina,16.8,16.4,17.2,24.4,23.6,25.2
South Dakota,13.5,12.9,14.1,17.7,16.6,18.8
Tennessee,16.7,16.4,17,24.1,23.4,24.8
Texas,15.9,15.7,16.1,22.9,22.5,23.3
Utah,11.2,10.8,11.6,12.8,12.1,13.5
Vermont,10.4,9.9,10.9,13.7,12.5,14.9
Virginia,11.2,11,11.4,15,14.5,15.5
Washington,12.2,11.9,12.5,15.7,15.1,16.3
West Virginia,18,17.5,18.5,24.7,23.6,25.8
Wisconsin,12.1,11.9,12.3,16.5,15.9,17.1
Wyoming,10.6,9.9,11.3,13,11.8,14.2