State,Population,Overall rank,Corporate Taxes,Individual Taxes,Sales Taxes,Property taxes,
ALABAMA,"4,858,979",39,20,30,48,15,
ALASKA,"738,432",2,25,1,5,23,
ARIZONA,"6,828,065",27,17,19,47,5,
ARKANSAS,"2,978,204",46,40,40,44,26,
CALIFORNIA,"39,144,818",49,31,49,43,14,
COLORADO,"5,456,574",18,16,14,38,12,
CONNECTICUT,"3,590,886",47,29,43,30,50,
DELAWARE,"945,934",11,50,41,2,9,
DISTRICT OF COLUMBIA4,"672,228",46,27,45,25,47,
FLORIDA,"20,271,272",4,6,1,22,11,
GEORGIA5,"10,214,860",33,8,38,29,24,
HAWAII,"1,431,603",38,14,47,24,16,
IDAHO,"1,654,930",21,26,23,26,4,
ILLINOIS,"12,859,995",36,39,13,36,45,
INDIANA6,"6,619,680",10,18,15,12,2,
IOWA,"3,123,899",45,48,42,19,39,
KANSAS,"2,911,641",28,34,21,31,20,
KENTUCKY,"4,425,092",23,27,17,14,35,
LOUISIANA,"4,670,724",44,36,32,50,32,
MAINE6,"1,329,328",30,41,24,7,41,
MARYLAND,"6,006,401",40,22,45,18,42,
MASSACHUSETTS,"6,794,422",29,37,11,13,46,
MICHIGAN,"9,922,576",13,11,12,11,22,
MINNESOTA,"5,489,594",43,42,46,27,31,
MISSISSIPPI6,"2,992,333",31,15,27,35,36,
MISSOURI,"6,083,672",14,4,25,25,7,
MONTANA,"1,032,949",5,12,22,3,10,
NEBRASKA6,"1,896,190",24,28,26,9,40,
NEVADA,"2,890,845",9,33,5,40,8,
NEW HAMPSHIRE,"1,330,608",6,45,9,1,44,
NEW JERSEY,"8,958,013",50,47,50,45,48,
NEW MEXICO5,"2,085,109",25,21,31,41,1,
NEW YORK6,"19,795,791",48,7,48,42,47,
NORTH CAROLINA5,"10,042,802",12,3,16,20,33,
NORTH DAKOTA,"756,927",17,23,20,32,6,
OHIO6,"11,613,423",42,46,44,28,13,
OKLAHOMA,"3,911,338",26,9,33,39,19,
OREGON6,"4,028,977",7,30,36,4,17,
PENNSYLVANIA,"12,802,503",34,43,18,21,34,
RHODE ISLAND6,"1,056,298",37,32,29,23,43,
SOUTH CAROLINA,"4,896,146",35,19,34,34,27,
SOUTH DAKOTA,"858,469",3,1,1,33,28,
TENNESSEE,"6,600,299",16,24,8,46,29,
TEXAS,"27,469,114",15,49,6,37,37,
UTAH6,"2,995,919",8,5,10,16,3,
VERMONT,"626,042",41,38,37,15,49,
VIRGINIA,"8,382,993",22,10,35,10,30,
WASHINGTON6,"7,170,351",20,44,6,49,25,
WEST VIRGINIA,"1,844,128",19,13,28,17,18,
WISCONSIN6,"5,771,337",32,35,39,8,21,
WYOMING,"586,107",1,1,1,6,38,